institution_id,name,type,state,city,url,accreditation_status,source,last_updated
1,Akron,Law School,,,http://www.uakron.edu/law,ABA Approved (1961),ABA,2025-12-26 18:45:30
2,Alabama,Law School,,,http://www.law.ua.edu,ABA Approved (1926),ABA,2025-12-26 18:45:30
3,Albany,Law School,,,http://www.albanylaw.edu,ABA Approved (1930),ABA,2025-12-26 18:45:30
4,American,Law School,,,http://www.wcl.american.edu,ABA Approved (1940),ABA,2025-12-26 18:45:30
5,Appalachian,Law School,,,http://www.asl.edu,ABA Approved (2001),ABA,2025-12-26 18:45:30
6,Arizona,Law School,,,http://www.law.arizona.edu,ABA Approved (1930),ABA,2025-12-26 18:45:30
7,Arizona State,Law School,,,https://law.asu.edu,ABA Approved (1969),ABA,2025-12-26 18:45:30
8,Arkansas - Fayetteville,Law School,Arkansas,Fayetteville,http://law.uark.edu,ABA Approved (1926),ABA,2025-12-26 18:45:30
9,Arkansas - Little Rock,Law School,Arkansas,Little Rock,https://ualr.edu/law,ABA Approved (1969),ABA,2025-12-26 18:45:30
10,Atlanta's John Marshall Law School,Law School,,,http://www.johnmarshall.edu,ABA Approved (2005),ABA,2025-12-26 18:45:30
11,Ave Maria School of Law,Law School,,,http://www.avemarialaw.edu,ABA Approved (2002),ABA,2025-12-26 18:45:30
12,Baltimore,Law School,,,http://law.ubalt.edu/index.cfm,ABA Approved (1972),ABA,2025-12-26 18:45:30
13,Barry University,Law School,,,http://www.barry.edu/law,ABA Approved (2002),ABA,2025-12-26 18:45:30
14,Baylor,Law School,,,http://www.baylor.edu/law,ABA Approved (1931),ABA,2025-12-26 18:45:30
15,Belmont University,Law School,,,http://www.belmont.edu/law,ABA Approved (2013),ABA,2025-12-26 18:45:30
16,Boston College,Law School,,,http://www.bc.edu/schools/law,ABA Approved (1932),ABA,2025-12-26 18:45:30
17,Boston University,Law School,,,https://www.bu.edu/law,ABA Approved (1925),ABA,2025-12-26 18:45:30
18,Brigham Young,Law School,,,http://www.law.byu.edu,ABA Approved (1974),ABA,2025-12-26 18:45:30
19,Brooklyn,Law School,,,http://www.brooklaw.edu,ABA Approved (1937),ABA,2025-12-26 18:45:30
20,Buffalo,Law School,,,http://www.law.buffalo.edu,ABA Approved (1936),ABA,2025-12-26 18:45:30
21,California - Berkeley,Law School,California,Berkeley,http://www.law.berkeley.edu,ABA Approved (1923),ABA,2025-12-26 18:45:30
22,California - Davis,Law School,California,Davis,http://www.law.ucdavis.edu,ABA Approved (1968),ABA,2025-12-26 18:45:30
